orderid,saleamount,profitrate,profit,shippingdate,country,district,city,subclass,customer,discount,num,province,class,type,orderdate
CN-2018-2699733,561,15%,84,2018/10/21,中国,中南,深圳,美术,楚宣,0.20 ,6,广东,办公用品,消费者,2018/10/17
CN-2018-2699733,3186,46%,1466,2018/10/21,中国,中南,深圳,书架,楚宣,0.00 ,4,广东,家具,消费者,2018/10/17
US-2017-5801512,706,-38%,-271,2017/10/5,中国,西南,阆中,电话,田武,0.40 ,2,四川,技术,公司,2017/10/1
US-2017-5801512,463,47%,217,2017/10/5,中国,西南,阆中,收纳具,田武,0.00 ,6,四川,办公用品,公司,2017/10/1
US-2017-5801512,44,-14%,-6,2017/10/5,中国,西南,阆中,装订机,田武,0.40 ,1,四川,办公用品,公司,2017/10/1
CN-2015-4800042,342,35%,119,2015/1/7,中国,中南,珠海,系固件,卢芳,0.00 ,5,广东,办公用品,消费者,2015/1/5
CN-2017-4347325,1329,38%,505,2017/3/7,中国,东北,四平,复印机,秦蔓楚,0.00 ,2,吉林,技术,消费者,2017/3/5
CN-2017-3873167,599,13%,78,2017/6/9,中国,华东,菏泽,用品,叶柏,0.00 ,3,山东,办公用品,公司,2017/6/8
US-2016-2609031,166,-5%,-9,2016/3/11,中国,华东,泰州,系固件,封乐,0.40 ,3,江苏,办公用品,消费者,2016/3/8
US-2016-2609031,192,12%,23,2016/3/11,中国,华东,泰州,收纳具,封乐,0.00 ,4,江苏,办公用品,消费者,2016/3/8
US-2016-2609031,402,-58%,-235,2016/3/11,中国,华东,泰州,电话,封乐,0.40 ,2,江苏,技术,消费者,2016/3/8
CN-2018-3226363,248,5%,12,2018/3/22,中国,中南,仙桃,用品,宋良,0.40 ,3,湖北,办公用品,公司,2018/3/16
CN-2018-1512811,131,36%,47,2018/10/13,中国,中南,肇庆,收纳具,葛彩,0.00 ,3,广东,办公用品,消费者,2018/10/8
CN-2018-1512811,723,20%,144,2018/10/13,中国,中南,肇庆,器具,葛彩,0.00 ,2,广东,办公用品,消费者,2018/10/8
CN-2016-5837615,6366,23%,1464,2016/2/9,中国,西南,贵阳,椅子,洪康,0.00 ,3,贵州,家具,消费者,2016/2/4
CN-2016-5105254,130,46%,60,2016/11/8,中国,中南,耒阳,系固件,范娜,0.00 ,2,湖南,办公用品,小型企业,2016/11/1
CN-2017-3436186,120,18%,22,2017/3/7,中国,东北,和龙,信封,徐荷,0.00 ,1,吉林,办公用品,公司,2017/3/4
CN-2017-3436186,154,21%,32,2017/3/7,中国,东北,和龙,用品,徐荷,0.00 ,2,吉林,办公用品,公司,2017/3/4
CN-2018-3665640,101,23%,23,2018/4/5,中国,东北,哈尔滨,系固件,唐宁,0.00 ,2,黑龙江,办公用品,公司,2018/4/3
CN-2018-3873167,121,49%,59,2018/4/12,中国,东北,哈尔滨,系固件,贾嫒,0.00 ,2,黑龙江,办公用品,公司,2018/4/10
CN-2015-3021319,174,28%,49,2015/12/16,中国,东北,齐齐哈尔,系固件,邱丽雪,0.00 ,2,黑龙江,办公用品,公司,2015/12/15
US-2017-1640388,459,9%,41,2017/5/26,中国,东北,长春,装订机,贺兰,0.00 ,2,吉林,办公用品,公司,2017/5/23
CN-2018-1119011,510,35%,179,2018/9/23,中国,东北,吉林市,信封,牛黎明,0.00 ,3,吉林,办公用品,公司,2018/9/21
CN-2016-5106829,271,15%,40,2016/3/16,中国,东北,抚顺,信封,丁婵,0.00 ,3,辽宁,办公用品,公司,2016/3/14
CN-2017-2310505,335,15%,50,2017/12/13,中国,东北,抚顺,纸张,付聪,0.00 ,3,辽宁,办公用品,公司,2017/12/11
CN-2015-1455125,236,0%,0,2015/8/20,中国,东北,齐齐哈尔,纸张,邱博,0.00 ,3,黑龙江,办公用品,公司,2015/8/17
US-2017-1640388,879,30%,264,2017/5/26,中国,东北,长春,纸张,贺兰,0.00 ,4,吉林,办公用品,公司,2017/5/23
US-2017-1640388,1078,29%,312,2017/5/26,中国,东北,长春,用品,贺兰,0.00 ,5,吉林,办公用品,公司,2017/5/23
CN-2016-4162714,342,35%,119,2016/7/2,中国,东北,宝山,系固件,胡锦,0.00 ,5,黑龙江,办公用品,公司,2016/6/29
US-2017-1640388,396,43%,169,2017/5/26,中国,东北,长春,纸张,贺兰,0.00 ,5,吉林,办公用品,公司,2017/5/23
US-2018-5490018,260,1%,3,2018/9/26,中国,东北,大庆,标签,何娇,0.00 ,6,黑龙江,办公用品,公司,2018/9/24
US-2018-3266914,475,5%,24,2018/6/12,中国,东北,沈阳,纸张,涂安,0.00 ,6,辽宁,办公用品,公司,2018/6/9
CN-2016-2693856,221,47%,104,2016/9/27,中国,东北,辽阳,标签,谭立,0.00 ,7,辽宁,办公用品,公司,2016/9/25
CN-2016-3240329,295,19%,55,2016/9/28,中国,东北,宝山,美术,薛荷,0.20 ,3,黑龙江,办公用品,公司,2016/9/27
US-2018-3266914,1592,-42%,-663,2018/6/12,中国,东北,沈阳,器具,涂安,0.40 ,1,辽宁,办公用品,公司,2018/6/9
CN-2016-2693856,80,-8%,-7,2016/9/27,中国,东北,辽阳,用品,谭立,0.40 ,1,辽宁,办公用品,公司,2016/9/25
CN-2016-2693856,30,-5%,-2,2016/9/27,中国,东北,辽阳,系固件,谭立,0.40 ,1,辽宁,办公用品,公司,2016/9/25
CN-2016-2693856,143,-15%,-22,2016/9/27,中国,东北,辽阳,装订机,谭立,0.40 ,1,辽宁,办公用品,公司,2016/9/25
US-2018-3266914,126,-47%,-59,2018/6/12,中国,东北,沈阳,用品,涂安,0.40 ,2,辽宁,办公用品,公司,2018/6/9
US-2018-5463213,161,-52%,-83,2018/3/31,中国,东北,抚顺,装订机,吴磊,0.40 ,2,辽宁,办公用品,公司,2018/3/28
CN-2016-2693856,837,-43%,-363,2016/9/27,中国,东北,辽阳,器具,谭立,0.40 ,3,辽宁,办公用品,公司,2016/9/25
US-2018-3378788,135,-40%,-55,2018/7/18,中国,东北,鞍山,系固件,黄芳,0.40 ,3,辽宁,办公用品,公司,2018/7/16
US-2018-5463213,253,-62%,-156,2018/3/31,中国,东北,抚顺,装订机,吴磊,0.40 ,3,辽宁,办公用品,公司,2018/3/28
CN-2016-2693856,59,-65%,-38,2016/9/27,中国,东北,辽阳,装订机,谭立,0.40 ,3,辽宁,办公用品,公司,2016/9/25
US-2018-3266914,130,-42%,-55,2018/6/12,中国,东北,沈阳,用品,涂安,0.40 ,4,辽宁,办公用品,公司,2018/6/9
US-2018-5463213,146,-20%,-29,2018/3/31,中国,东北,抚顺,系固件,吴磊,0.40 ,4,辽宁,办公用品,公司,2018/3/28
US-2018-5463213,495,10%,49,2018/3/31,中国,东北,抚顺,装订机,吴磊,0.40 ,6,辽宁,办公用品,公司,2018/3/28
US-2018-5840887,320,-2%,-6,2018/1/26,中国,东北,沈阳,用品,韦诚,0.40 ,8,辽宁,办公用品,公司,2018/1/24
CN-2015-1893791,299,8%,25,2015/7/21,中国,东北,丹东,系固件,潘涛,0.40 ,9,辽宁,办公用品,公司,2015/7/18
CN-2016-2693856,49,-216%,-106,2016/9/27,中国,东北,辽阳,美术,谭立,0.80 ,2,辽宁,办公用品,公司,2016/9/25
CN-2016-4433229,221,38%,84,2016/6/28,中国,中南,惠城,信封,施立伟,0.00 ,1,广东,办公用品,公司,2016/6/25
US-2016-2075782,1318,15%,198,2016/5/4,中国,中南,广州,器具,袁梅,0.00 ,1,广东,办公用品,公司,2016/5/2
US-2017-5093470,599,38%,228,2017/11/12,中国,中南,黄石,收纳具,涂安,0.00 ,1,湖北,办公用品,公司,2017/11/9
US-2016-5586841,926,29%,268,2016/12/8,中国,中南,黄陂,收纳具,曹灵,0.00 ,1,湖北,办公用品,公司,2016/12/6
CN-2018-4497736,51,42%,21,2018/8/25,中国,中南,襄樊,标签,孔辉,0.00 ,1,湖北,办公用品,公司,2018/8/22
US-2018-1564715,158,11%,17,2018/11/4,中国,中南,周口,纸张,梁安,0.00 ,1,河南,办公用品,公司,2018/11/3
CN-2017-2042105,84,8%,7,2017/10/18,中国,中南,江门,信封,陶虢,0.00 ,2,广东,办公用品,公司,2017/10/15
CN-2018-4750815,180,28%,50,2018/12/5,中国,中南,涟源,信封,余毅,0.00 ,2,湖南,办公用品,公司,2018/12/3
CN-2018-1197917,4663,3%,140,2018/4/7,中国,中南,衡阳,器具,邱丽雪,0.00 ,2,湖南,办公用品,公司,2018/4/4
CN-2018-5926511,107,6%,6,2018/1/18,中国,中南,唐河,标签,袁梅,0.00 ,2,河南,办公用品,公司,2018/1/15
US-2018-3504524,84,31%,26,2018/6/19,中国,中南,襄樊,标签,余毅,0.00 ,2,湖北,办公用品,公司,2018/6/17
CN-2018-4475873,449,48%,215,2018/8/26,中国,中南,汕头,用品,郝壁,0.00 ,2,广东,办公用品,公司,2018/8/25
US-2016-4150614,293,34%,99,2016/10/1,中国,中南,洛阳,用品,谷莲,0.00 ,2,河南,办公用品,公司,2016/9/28
CN-2018-4795502,150,16%,24,2018/1/7,中国,中南,惠州,系固件,刘明,0.00 ,2,广东,办公用品,公司,2018/1/5
CN-2015-2554132,189,34%,64,2015/1/9,中国,中南,武汉,纸张,洪毅,0.00 ,2,湖北,办公用品,公司,2015/1/8
CN-2017-4986506,283,36%,102,2017/9/3,中国,中南,安埠,装订机,谢丽雪,0.00 ,2,广东,办公用品,公司,2017/8/31
CN-2016-3490090,68,26%,17,2016/10/13,中国,中南,广州,装订机,毛保,0.00 ,2,广东,办公用品,公司,2016/10/11
CN-2016-4162714,36,23%,8,2016/10/7,中国,中南,阳江,装订机,洪毅,0.00 ,2,广东,办公用品,公司,2016/10/5
CN-2018-4497265,75,47%,35,2018/11/17,中国,中南,南宁,装订机,孔松,0.00 ,2,广西,办公用品,公司,2018/11/14
CN-2018-2052338,128,49%,62,2018/12/12,中国,中南,义马,装订机,潘丽美,0.00 ,2,河南,办公用品,公司,2018/12/9
CN-2016-2662386,277,29%,80,2016/12/12,中国,中南,清远,信封,钱婵娟,0.00 ,3,广东,办公用品,公司,2016/12/10
CN-2018-2052338,116,1%,1,2018/12/12,中国,中南,义马,信封,潘丽美,0.00 ,3,河南,办公用品,公司,2018/12/9
US-2016-3279950,4337,2%,87,2017/1/2,中国,中南,深圳,器具,白聪,0.00 ,3,广东,办公用品,公司,2016/12/31
CN-2016-4162714,180,50%,90,2016/10/7,中国,中南,阳江,标签,洪毅,0.00 ,3,广东,办公用品,公司,2016/10/5
CN-2016-4162714,578,34%,196,2016/10/7,中国,中南,阳江,用品,洪毅,0.00 ,3,广东,办公用品,公司,2016/10/5
CN-2017-5285028,699,11%,77,2017/6/21,中国,中南,邓州,用品,戴松,0.00 ,3,河南,办公用品,公司,2017/6/18
CN-2018-4647823,430,1%,4,2018/10/22,中国,中南,武汉,纸张,陈锦,0.00 ,3,湖北,办公用品,公司,2018/10/19
CN-2016-2918417,236,28%,66,2016/5/16,中国,中南,长沙,纸张,彭婉,0.00 ,3,湖南,办公用品,公司,2016/5/14
US-2015-4266965,103,34%,35,2016/1/2,中国,中南,开封,装订机,万刚,0.00 ,3,河南,办公用品,公司,2015/12/30
CN-2015-2936253,493,35%,172,2015/4/23,中国,中南,阳春,收纳具,薛芳,0.00 ,4,广东,办公用品,公司,2015/4/20
CN-2016-2662386,182,8%,15,2016/12/12,中国,中南,清远,标签,钱婵娟,0.00 ,4,广东,办公用品,公司,2016/12/10
CN-2015-1711156,573,1%,6,2015/6/4,中国,中南,枣阳,纸张,何惠,0.00 ,4,湖北,办公用品,公司,2015/6/1
CN-2016-2662386,249,19%,47,2016/12/12,中国,中南,清远,装订机,钱婵娟,0.00 ,4,广东,办公用品,公司,2016/12/10
CN-2018-3815654,1084,29%,314,2018/9/21,中国,中南,湘潭,信封,孔松,0.00 ,5,湖南,办公用品,公司,2018/9/18
CN-2018-2203847,2267,46%,1042,2018/8/23,中国,中南,云浮,器具,毛丽美,0.00 ,5,广东,办公用品,公司,2018/8/21
CN-2016-4757928,1120,35%,392,2016/6/6,中国,中南,深圳,收纳具,马锦,0.00 ,5,广东,办公用品,公司,2016/6/4
CN-2015-5908054,386,49%,189,2015/7/15,中国,中南,宜昌,收纳具,白婵,0.00 ,5,湖北,办公用品,公司,2015/7/12
US-2016-5586841,167,3%,5,2016/12/8,中国,中南,黄陂,标签,曹灵,0.00 ,5,湖北,办公用品,公司,2016/12/6
CN-2016-2662386,320,26%,83,2016/12/12,中国,中南,清远,系固件,钱婵娟,0.00 ,5,广东,办公用品,公司,2016/12/10
CN-2017-3210061,307,35%,107,2017/5/28,中国,中南,岳阳,系固件,潘涛,0.00 ,5,湖南,办公用品,公司,2017/5/27
CN-2018-2386979,314,12%,37,2018/5/16,中国,中南,焦作,纸张,邱丽雪,0.00 ,5,河南,办公用品,公司,2018/5/14
CN-2016-4162714,1293,45%,581,2016/10/7,中国,中南,阳江,用品,洪毅,0.00 ,6,广东,办公用品,公司,2016/10/5
CN-2015-4150128,471,21%,98,2015/12/7,中国,中南,南宁,系固件,白婵,0.00 ,6,广西,办公用品,公司,2015/12/5
CN-2017-3643443,998,9%,89,2017/9/10,中国,中南,应城,信封,范彩,0.00 ,7,湖北,办公用品,公司,2017/9/9
CN-2015-3269021,723,7%,50,2015/10/17,中国,中南,广州,用品,邱谦,0.00 ,7,广东,办公用品,公司,2015/10/14
CN-2018-1887568,447,49%,219,2018/12/1,中国,中南,深圳,装订机,麦德,0.00 ,7,广东,办公用品,公司,2018/11/30
CN-2016-2508741,401,19%,76,2016/10/5,中国,中南,黄石,收纳具,佘凤,0.00 ,8,湖北,办公用品,公司,2016/10/3
CN-2018-4795502,365,12%,43,2018/1/7,中国,中南,惠州,标签,刘明,0.00 ,9,广东,办公用品,公司,2018/1/5
CN-2018-4475873,95,10%,9,2018/8/26,中国,中南,汕头,美术,郝壁,0.20 ,1,广东,办公用品,公司,2018/8/25
CN-2016-4433229,175,-23%,-40,2016/6/28,中国,中南,惠城,美术,施立伟,0.20 ,2,广东,办公用品,公司,2016/6/25
CN-2016-4162714,601,-20%,-121,2016/10/7,中国,中南,阳江,美术,洪毅,0.20 ,3,广东,办公用品,公司,2016/10/5
CN-2018-4750815,176,21%,37,2018/12/5,中国,中南,涟源,美术,余毅,0.20 ,3,湖南,办公用品,公司,2018/12/3
CN-2015-2936253,223,12%,28,2015/4/23,中国,中南,阳春,美术,薛芳,0.20 ,5,广东,办公用品,公司,2015/4/20
US-2016-3279950,1066,-3%,-27,2017/1/2,中国,中南,深圳,美术,白聪,0.20 ,6,广东,办公用品,公司,2016/12/31
US-2018-4752200,32,-55%,-18,2018/1/5,中国,中南,钟祥,系固件,麦虢,0.40 ,1,湖北,办公用品,公司,2018/1/3
US-2017-5093470,237,15%,35,2017/11/12,中国,中南,黄石,用品,涂安,0.40 ,2,湖北,办公用品,公司,2017/11/9
CN-2015-2554132,128,-35%,-45,2015/1/9,中国,中南,武汉,用品,洪毅,0.40 ,3,湖北,办公用品,公司,2015/1/8
CN-2015-5908054,125,-37%,-46,2015/7/15,中国,中南,宜昌,装订机,白婵,0.40 ,3,湖北,办公用品,公司,2015/7/12
CN-2016-2508741,157,-65%,-103,2016/10/5,中国,中南,黄石,系固件,佘凤,0.40 ,4,湖北,办公用品,公司,2016/10/3
CN-2018-5943918,969,-10%,-97,2018/9/5,中国,中南,宜城,器具,戴珑,0.40 ,5,湖北,办公用品,公司,2018/9/4
CN-2015-2554132,186,-24%,-44,2015/1/9,中国,中南,武汉,系固件,洪毅,0.40 ,5,湖北,办公用品,公司,2015/1/8
US-2018-4752200,586,-47%,-274,2018/1/5,中国,中南,钟祥,用品,麦虢,0.40 ,6,湖北,办公用品,公司,2018/1/3
US-2015-4164715,227,-20%,-45,2015/11/10,中国,中南,襄樊,系固件,顾君,0.40 ,6,湖北,办公用品,公司,2015/11/7
US-2015-4164715,243,-28%,-69,2015/11/10,中国,中南,襄樊,系固件,顾君,0.40 ,8,湖北,办公用品,公司,2015/11/7
US-2016-5586841,304,-28%,-86,2016/12/8,中国,中南,黄陂,系固件,曹灵,0.40 ,8,湖北,办公用品,公司,2016/12/6
US-2016-5586841,425,-60%,-256,2016/12/8,中国,中南,黄陂,系固件,曹灵,0.40 ,11,湖北,办公用品,公司,2016/12/6
US-2017-5082514,36,41%,15,2017/6/26,中国,华东,淮北,信封,余毅,0.00 ,1,安徽,办公用品,公司,2017/6/25
CN-2017-3188191,445,37%,165,2017/11/21,中国,华东,晋江,器具,常康,0.00 ,1,福建,办公用品,公司,2017/11/18
US-2017-5082514,143,48%,69,2017/6/26,中国,华东,淮北,收纳具,余毅,0.00 ,1,安徽,办公用品,公司,2017/6/25
US-2017-5082514,173,12%,21,2017/6/26,中国,华东,淮北,用品,余毅,0.00 ,1,安徽,办公用品,公司,2017/6/25
US-2017-2055991,68,48%,32,2017/1/11,中国,华东,寿光,系固件,赖虎,0.00 ,1,山东,办公用品,公司,2017/1/9
US-2016-4988987,140,49%,68,2016/1/14,中国,华东,合肥,纸张,常光,0.00 ,1,安徽,办公用品,公司,2016/1/12
US-2018-4373153,67,44%,29,2018/7/24,中国,华东,杭州,信封,施立伟,0.00 ,2,浙江,办公用品,公司,2018/7/22
CN-2016-5099065,398,18%,71,2016/6/2,中国,华东,烟台,器具,邱丽雪,0.00 ,2,山东,办公用品,公司,2016/5/31
CN-2016-5631342,501,40%,200,2016/1/27,中国,华东,宿州,收纳具,林德伟,0.00 ,2,安徽,办公用品,公司,2016/1/24
CN-2016-4896054,1852,8%,148,2016/2/16,中国,华东,宜春,收纳具,顾君,0.00 ,2,江西,办公用品,公司,2016/2/15
CN-2017-2960006,83,12%,10,2017/10/10,中国,华东,上海,标签,段强,0.00 ,2,上海,办公用品,公司,2017/10/7
US-2017-2055991,104,6%,6,2017/1/11,中国,华东,寿光,标签,赖虎,0.00 ,2,山东,办公用品,公司,2017/1/9
US-2016-1154983,47,2%,1,2016/1/10,中国,华东,镇江,标签,万达侠,0.00 ,2,江苏,办公用品,公司,2016/1/8
CN-2017-4862116,282,17%,48,2017/9/23,中国,华东,泉州,用品,薛健,0.00 ,2,福建,办公用品,公司,2017/9/20
CN-2016-5940390,132,32%,42,2016/8/27,中国,华东,莱阳,装订机,马雯,0.00 ,2,山东,办公用品,公司,2016/8/25
CN-2016-5940390,129,22%,28,2016/8/27,中国,华东,莱阳,装订机,马雯,0.00 ,2,山东,办公用品,公司,2016/8/25
CN-2018-1966627,1376,40%,550,2018/11/19,中国,华东,宿州,器具,陶莞颖,0.00 ,3,安徽,办公用品,公司,2018/11/17
CN-2015-3702485,840,22%,185,2015/4/22,中国,华东,巢湖,器具,郭刚,0.00 ,3,安徽,办公用品,公司,2015/4/20
CN-2017-4141331,997,14%,139,2017/4/13,中国,华东,明水,器具,龙娜,0.00 ,3,山东,办公用品,公司,2017/4/12
US-2016-1103148,2778,46%,1278,2016/1/7,中国,华东,南通,收纳具,白婵,0.00 ,3,江苏,办公用品,公司,2016/1/4
CN-2018-5036114,179,50%,89,2018/9/23,中国,华东,洛阳,标签,马晨,0.00 ,3,福建,办公用品,公司,2018/9/21
CN-2017-4862116,225,15%,34,2017/9/23,中国,华东,泉州,用品,薛健,0.00 ,3,福建,办公用品,公司,2017/9/20
US-2017-5082514,232,33%,76,2017/6/26,中国,华东,淮北,系固件,余毅,0.00 ,3,安徽,办公用品,公司,2017/6/25
US-2016-4988987,369,24%,88,2016/1/14,中国,华东,合肥,纸张,常光,0.00 ,3,安徽,办公用品,公司,2016/1/12
CN-2015-4842730,90,40%,36,2015/12/23,中国,华东,潍坊,装订机,贾保,0.00 ,3,山东,办公用品,公司,2015/12/22
CN-2017-3649263,83,11%,9,2017/5/24,中国,华东,南平,装订机,邵黎明,0.00 ,3,福建,办公用品,公司,2017/5/21
CN-2018-5036114,268,2%,5,2018/9/23,中国,华东,洛阳,系固件,马晨,0.00 ,4,福建,办公用品,公司,2018/9/21
US-2018-4896054,158,45%,71,2018/11/8,中国,华东,萍乡,装订机,巩关茵,0.00 ,4,江西,办公用品,公司,2018/11/6
CN-2017-1637441,1287,26%,334,2017/6/11,中国,华东,苏州,收纳具,麦虢,0.00 ,5,江苏,办公用品,公司,2017/6/10
CN-2016-2190451,213,15%,32,2016/4/20,中国,华东,杭州,标签,彭安,0.00 ,5,浙江,办公用品,公司,2016/4/17
CN-2016-5477816,393,0%,0,2016/1/28,中国,华东,晋江,纸张,戴珑,0.00 ,5,福建,办公用品,公司,2016/1/26
CN-2017-2518780,279,30%,83,2017/3/22,中国,华东,德州,美术,何根基,0.00 ,5,山东,办公用品,公司,2017/3/19
CN-2015-4842730,1187,46%,546,2015/12/23,中国,华东,潍坊,装订机,贾保,0.00 ,5,山东,办公用品,公司,2015/12/22
CN-2015-4911170,90,23%,21,2015/4/23,中国,华东,厦门,装订机,巩嫒,0.00 ,5,福建,办公用品,公司,2015/4/20
CN-2016-2571041,3595,38%,1366,2016/9/20,中国,华东,池州,收纳具,冯莲,0.00 ,6,安徽,办公用品,公司,2016/9/17
CN-2015-4757147,1620,44%,712,2015/6/10,中国,华东,无锡,收纳具,孔关茵,0.00 ,6,江苏,办公用品,公司,2015/6/7
US-2017-1973789,304,20%,60,2017/11/28,中国,华东,滕州,标签,佘凤,0.00 ,6,山东,办公用品,公司,2017/11/25
CN-2016-5477816,782,22%,171,2016/1/28,中国,华东,晋江,用品,戴珑,0.00 ,6,福建,办公用品,公司,2016/1/26
US-2018-4896054,383,49%,187,2018/11/8,中国,华东,萍乡,装订机,巩关茵,0.00 ,6,江西,办公用品,公司,2018/11/6
CN-2018-5008743,200,45%,89,2018/6/7,中国,华东,厦门,装订机,杨立勤,0.00 ,7,福建,办公用品,公司,2018/6/4
US-2018-1925348,483,4%,19,2018/10/19,中国,华东,濉溪,系固件,段杰,0.00 ,8,安徽,办公用品,公司,2018/10/16
CN-2017-2448028,418,33%,138,2017/9/21,中国,华东,萍乡,装订机,邹妮,0.00 ,8,江西,办公用品,公司,2017/9/20
CN-2017-2280831,316,49%,154,2017/4/9,中国,华东,苏州,标签,袁荣,0.00 ,9,江苏,办公用品,公司,2017/4/8
CN-2018-5036114,372,48%,178,2018/9/23,中国,华东,洛阳,装订机,马晨,0.00 ,14,福建,办公用品,公司,2018/9/21
CN-2018-5057492,204,25%,51,2018/11/15,中国,华东,蚌埠,美术,杨诚,0.20 ,2,安徽,办公用品,公司,2018/11/12
US-2016-4988987,542,-18%,-95,2016/1/14,中国,华东,合肥,美术,常光,0.20 ,5,安徽,办公用品,公司,2016/1/12
US-2016-1103148,83,-48%,-40,2016/1/7,中国,华东,南通,用品,白婵,0.40 ,1,江苏,办公用品,公司,2016/1/4
US-2016-1154983,139,-5%,-7,2016/1/10,中国,华东,镇江,装订机,万达侠,0.40 ,1,江苏,办公用品,公司,2016/1/8
CN-2016-2544332,34,7%,2,2016/6/23,中国,华东,义乌,装订机,周诚,0.40 ,1,浙江,办公用品,公司,2016/6/20
CN-2018-4159546,3180,-20%,-636,2018/2/11,中国,华东,杭州,器具,廖保,0.40 ,2,浙江,办公用品,公司,2018/2/8
CN-2015-4757147,138,-17%,-23,2015/6/10,中国,华东,无锡,用品,孔关茵,0.40 ,2,江苏,办公用品,公司,2015/6/7
US-2015-5579979,229,-25%,-57,2015/5/1,中国,华东,泰州,用品,马惠英,0.40 ,2,江苏,办公用品,公司,2015/4/29
CN-2018-3269021,70,5%,3,2018/7/18,中国,华东,徐州,系固件,钟宣,0.40 ,2,江苏,办公用品,公司,2018/7/16
CN-2018-4159546,285,10%,28,2018/2/11,中国,华东,杭州,装订机,廖保,0.40 ,2,浙江,办公用品,公司,2018/2/8
US-2016-4800042,286,-27%,-76,2016/4/5,中国,华东,盐城,用品,龙娜,0.40 ,3,江苏,办公用品,公司,2016/4/4
CN-2015-2560726,95,1%,1,2015/11/19,中国,华东,绍兴,系固件,任临耀,0.40 ,3,浙江,办公用品,公司,2015/11/17
CN-2015-1663187,133,8%,11,2015/2/20,中国,华东,宁波,系固件,彭绅,0.40 ,4,浙江,办公用品,公司,2015/2/17
CN-2017-5033587,689,-45%,-310,2017/5/4,中国,华东,苏州,装订机,常康,0.40 ,5,江苏,办公用品,公司,2017/5/2
CN-2016-2190451,186,-67%,-124,2016/4/20,中国,华东,杭州,装订机,彭安,0.40 ,5,浙江,办公用品,公司,2016/4/17
CN-2017-4020885,8737,-32%,-2767,2017/6/21,中国,华东,江都,器具,曹灵,0.40 ,6,江苏,办公用品,公司,2017/6/18
US-2017-1777670,126,0%,0,2017/4/2,中国,华东,扬州,装订机,施丽丽,0.40 ,7,江苏,办公用品,公司,2017/3/30
CN-2017-2280831,25,-215%,-54,2017/4/9,中国,华东,苏州,美术,袁荣,0.80 ,1,江苏,办公用品,公司,2017/4/8
CN-2015-2048658,42,-335%,-141,2015/8/16,中国,华东,苏州,美术,徐关茵,0.80 ,2,江苏,办公用品,公司,2015/8/13
US-2017-1777670,67,-251%,-167,2017/4/2,中国,华东,扬州,美术,施丽丽,0.80 ,6,江苏,办公用品,公司,2017/3/30
CN-2017-4020885,502,-260%,-1305,2017/6/21,中国,华东,江都,美术,曹灵,0.80 ,11,江苏,办公用品,公司,2017/6/18
CN-2015-2766233,235,11%,26,2015/1/13,中国,华北,天津,信封,贺虹,0.00 ,1,天津,办公用品,公司,2015/1/11
CN-2018-1455994,247,39%,96,2019/1/2,中国,华北,唐山,器具,洪强,0.00 ,1,河北,办公用品,公司,2018/12/30
CN-2016-1637441,69,11%,7,2016/12/31,中国,华北,北京,美术,杨栋,0.00 ,1,北京,办公用品,公司,2016/12/30
CN-2018-1455994,58,35%,20,2019/1/2,中国,华北,唐山,装订机,洪强,0.00 ,1,河北,办公用品,公司,2018/12/30
CN-2015-1996678,163,34%,55,2015/9/10,中国,华北,天津,信封,谢斯云,0.00 ,2,天津,办公用品,公司,2015/9/9
CN-2017-5834341,443,28%,124,2017/1/28,中国,华北,乌海,收纳具,楚伟,0.00 ,2,内蒙古,办公用品,公司,2017/1/25
CN-2018-1455994,1852,29%,537,2019/1/2,中国,华北,唐山,收纳具,洪强,0.00 ,2,河北,办公用品,公司,2018/12/30
CN-2018-3807036,576,35%,201,2018/6/24,中国,华北,石家庄,收纳具,孙谙,0.00 ,2,河北,办公用品,公司,2018/6/22
CN-2018-1246652,62,4%,2,2018/5/25,中国,华北,北京,标签,陈忠,0.00 ,2,北京,办公用品,公司,2018/5/23
CN-2017-2531621,235,46%,108,2017/8/18,中国,华北,天津,用品,林德伟,0.00 ,2,天津,办公用品,公司,2017/8/16
CN-2016-4164715,657,12%,79,2016/9/13,中国,华北,大同,信封,陈锦,0.00 ,3,山西,办公用品,公司,2016/9/11
CN-2018-1455994,150,26%,39,2019/1/2,中国,华北,唐山,信封,洪强,0.00 ,3,河北,办公用品,公司,2018/12/30
CN-2018-2063413,672,8%,53,2018/9/17,中国,华北,北京,收纳具,毛丽美,0.00 ,3,北京,办公用品,公司,2018/9/15
CN-2018-2286344,413,46%,190,2018/7/22,中国,华北,石家庄,装订机,梁安,0.00 ,3,河北,办公用品,公司,2018/7/20
CN-2015-1996678,184,22%,40,2015/9/10,中国,华北,天津,收纳具,谢斯云,0.00 ,4,天津,办公用品,公司,2015/9/9
CN-2018-5443541,269,7%,18,2018/3/21,中国,华北,邯郸,系固件,陶武,0.00 ,4,河北,办公用品,公司,2018/3/19
CN-2017-3550359,908,26%,236,2017/3/7,中国,华北,天津,美术,杨德伟,0.00 ,4,天津,办公用品,公司,2017/3/5
CN-2017-2531621,248,50%,124,2017/8/18,中国,华北,天津,装订机,林德伟,0.00 ,4,天津,办公用品,公司,2017/8/16
CN-2016-4164715,1146,49%,561,2016/9/13,中国,华北,大同,纸张,陈锦,0.00 ,5,山西,办公用品,公司,2016/9/11
